Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),15,RandomForest,A,δ13C coll,1.8000909674367196,10.102514305032795,-91.990928765865
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,A,δ13C coll,1.8035173370343123,10.138417491679233,-92.16602820654855
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,A,δ13C coll,1.7996881250425996,10.09430196928228,-91.97034211405031
combination_1_ABCD,A (δ13C coll),15,KNN,AB,δ13C coll_δ15N coll,1.5917433770907454,9.021399029165762,-81.34363999614902
combination_1_ABCD,A (δ13C coll),15,SVM,AB,δ13C coll_δ15N coll,1.694151032631046,9.820499761309424,-86.57702848389954
combination_1_ABCD,A (δ13C coll),15,RandomForest,AB,δ13C coll_δ15N coll,1.8057531880155941,10.177796902881068,-92.28028799234318
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.8193940394498302,10.252063545921299,-92.97738309214216
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.807677960236645,10.1323676139419,-92.37865056816862
combination_1_ABCD,A (δ13C coll),15,KNN,AC,δ13C coll_δ13C carb,1.9304878259654576,11.00881762542889,-98.65466317773793
combination_1_ABCD,A (δ13C coll),15,SVM,AC,δ13C coll_δ13C carb,1.772474525948088,10.309257506496776,-90.5796322549087
combination_1_ABCD,A (δ13C coll),15,RandomForest,AC,δ13C coll_δ13C carb,1.7971188900597284,10.079850836751309,-91.83904524263241
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.832974958321408,10.251053842231807,-93.67141542889087
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AC,δ13C coll_δ13C carb,1.8591620032988463,10.362689967916841,-95.00966479110966
combination_1_ABCD,A (δ13C coll),15,KNN,AD,δ13C coll_δ18O carb,1.6311606411619568,9.166382071830121,-83.35799971291571
combination_1_ABCD,A (δ13C coll),15,SVM,AD,δ13C coll_δ18O carb,1.6684862435941696,9.610875308885605,-85.26546822234002
combination_1_ABCD,A (δ13C coll),15,RandomForest,AD,δ13C coll_δ18O carb,1.7742953410091982,9.957945412917129,-90.67268225716548
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AD,δ13C coll_δ18O carb,1.8329815228192872,10.350728536337419,-93.67175089763532
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AD,δ13C coll_δ18O carb,1.8319361330238972,10.336884097391202,-93.6183278318348
combination_1_ABCD,A (δ13C coll),15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,1.926848205400837,11.081691331577096,-98.46866586862885
combination_1_ABCD,A (δ13C coll),15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,1.8178471198449393,10.50692129803521,-92.8983301032909
combination_1_ABCD,A (δ13C coll),15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,1.9372188485774609,10.760515243368987,-98.99864191704793
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,1.9947948300481202,11.091266588226828,-101.94097544679961
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,2.0035355109120903,11.178630479486277,-102.38765473427338
combination_1_ABCD,A (δ13C coll),15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,1.6475255735492573,9.299917918124871,-84.19430485345093
combination_1_ABCD,A (δ13C coll),15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,1.6709434320680725,9.651223834104385,-85.39103912623105
combination_1_ABCD,A (δ13C coll),15,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,1.7988651641608673,10.075150003717381,-91.928285941769
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,1.8395209780326887,10.343885136151025,-94.00593987451809
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,1.7830964445057866,9.94665158987078,-91.12244935197434
combination_1_ABCD,A (δ13C coll),15,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,1.950131016303385,11.12331630627133,-99.65849873705064
combination_1_ABCD,A (δ13C coll),15,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,1.7483071853773737,10.147650859722727,-89.34459683441175
combination_1_ABCD,A (δ13C coll),15,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,1.8111217927828036,10.108875221810655,-92.5546424264503
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,1.9154214994070276,10.626633856357937,-97.88472132575843
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,2.0029206502610455,11.19318737944667,-102.35623320982025
combination_1_ABCD,A (δ13C coll),15,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.935004935318093,10.98701691315065,-98.88550322538151
combination_1_ABCD,A (δ13C coll),15,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.8178046244264923,10.479512462809813,-92.89615843914618
combination_1_ABCD,A (δ13C coll),15,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,1.9217152080276705,10.624053338266485,-98.20635179436697
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,2.098013502126529,11.59433800619089,-107.21580970919968
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,2.048267496932893,11.345117225102285,-104.67361528517539
combination_1_ABCD,A (δ13C coll),20,KNN,A,δ13C coll,1.7439948377053525,9.540076743416686,-89.12422082303969
combination_1_ABCD,A (δ13C coll),20,SVM,A,δ13C coll,1.7267880950237462,9.631522784147108,-88.24489623947703
combination_1_ABCD,A (δ13C coll),20,RandomForest,A,δ13C coll,1.8122604871882175,9.908496333043185,-92.6128336833531
combination_1_ABCD,A (δ13C coll),20,RandomForest_MICE,A,δ13C coll,1.8396769675631517,10.07917413387563,-94.01391148375598
combination_1_ABCD,A (δ13C coll),20,HybridKNN_RF,A,δ13C coll,1.8136309851174712,9.91115102552403,-92.68287090906246
combination_1_ABCD,A (δ13C coll),20,KNN,AB,δ13C coll_δ15N coll,1.7446004846758523,9.501563791251744,-89.15517149627142
combination_1_ABCD,A (δ13C coll),20,SVM,AB,δ13C coll_δ15N coll,1.7746886305521385,9.955894975429274,-90.69278072495597
combination_1_ABCD,A (δ13C coll),20,RandomForest,AB,δ13C coll_δ15N coll,1.8282162823012011,9.977650858657793,-93.42823048173342
combination_1_ABCD,A (δ13C coll),20,RandomForest_MICE,AB,δ13C coll_δ15N coll,1.82869266357534,9.981766409284239,-93.45257522688655
combination_1_ABCD,A (δ13C coll),20,HybridKNN_RF,AB,δ13C coll_δ15N coll,1.823346128378379,9.951975241243995,-93.17934862481754
combination_1_ABCD,A (δ13C coll),20,KNN,AC,δ13C coll_δ13C carb,2.0470521082847553,11.324835357965386,-104.61150468489116
combination_1_ABCD,A (δ13C coll),20,SVM,AC,δ13C coll_δ13C carb,1.869002791402964,10.448846950568385,-95.51256339671454
combination_1_ABCD,A (δ13C coll),20,RandomForest,AC,δ13C coll_δ13C carb,1.9165382522973604,10.48081535410245,-97.94179129468893
combination_1_ABCD,A (δ13C coll),20,RandomForest_MICE,AC,δ13C coll_δ13C carb,1.970195674394986,10.680348517911575,-100.68387276903316
combination_1_ABCD,A (δ13C coll),20,HybridKNN_RF,AC,δ13C coll_δ13C carb,2.0249631225490217,11.03557321378932,-103.48268044762523
combination_1_ABCD,A (δ13C coll),20,KNN,AD,δ13C coll_δ18O carb,1.7365930332538422,9.474722721875569,-88.74596279144292
combination_1_ABCD,A (δ13C coll),20,SVM,AD,δ13C coll_δ18O carb,1.6988680134483496,9.457837484193792,-86.81808266071842
