Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE
combination_1_ABCD,A,15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,15,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,15,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,15,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,KNN,A,δ13C coll,inf,inf
combination_1_ABCD,A,20,SVM,A,δ13C coll,inf,inf
combination_1_ABCD,A,20,RandomForest,A,δ13C coll,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,A,δ13C coll,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,A,δ13C coll,inf,inf
combination_1_ABCD,A,20,KNN,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,20,SVM,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,20,RandomForest,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,A,20,KNN,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,SVM,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,RandomForest,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,AC,δ13C coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,KNN,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,SVM,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,AD,δ13C coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,A,20,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,A,20,KNN,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,SVM,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,ACD,δ13C coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,KNN,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,A,20,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,inf,inf
combination_1_ABCD,B,10,KNN,B,δ15N coll,inf,inf
combination_1_ABCD,B,10,SVM,B,δ15N coll,inf,inf
combination_1_ABCD,B,10,RandomForest,B,δ15N coll,inf,inf
combination_1_ABCD,B,10,RandomForest_MICE,B,δ15N coll,inf,inf
combination_1_ABCD,B,10,HybridKNN_RF,B,δ15N coll,inf,inf
combination_1_ABCD,B,10,KNN,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,B,10,SVM,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,B,10,RandomForest,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,B,10,RandomForest_MICE,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,B,10,HybridKNN_RF,AB,δ13C coll_δ15N coll,inf,inf
combination_1_ABCD,B,10,KNN,BC,δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,SVM,BC,δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,RandomForest,BC,δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,RandomForest_MICE,BC,δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,HybridKNN_RF,BC,δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,KNN,BD,δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,B,10,SVM,BD,δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,B,10,RandomForest,BD,δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,B,10,RandomForest_MICE,BD,δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,B,10,HybridKNN_RF,BD,δ15N coll_δ18O carb,inf,inf
combination_1_ABCD,B,10,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,inf,inf
combination_1_ABCD,B,10,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,inf,inf
