Combination,Feature,Percentage,Algorithm,Min MAE,FeatureSet Removal Scenario
combination_3_ABCDF,B,15,RandomForest,0.7736906666666649,BD
combination_3_ABCDF,B,20,KNN,1.320684761904762,BCF
combination_3_ABCDF,B,20,BayesianRidge,1.1668890281376718,BD
combination_3_ABCDF,B,20,RandomForest,0.87117219047619,BC
combination_3_ABCDF,C,10,KNN,1.3833666666666666,ABCD
combination_3_ABCDF,C,10,BayesianRidge,0.9964272462559709,BC
combination_3_ABCDF,C,10,RandomForest,0.8843650000000001,ACF
combination_3_ABCDF,C,15,KNN,1.2439261904761902,ABCD
combination_3_ABCDF,C,15,BayesianRidge,1.2115952534197885,BCDF
combination_3_ABCDF,C,15,RandomForest,0.9560339999999984,ACD
combination_3_ABCDF,C,20,KNN,1.324392380952381,ABCD
combination_3_ABCDF,C,20,BayesianRidge,1.0285016095077002,ACD
combination_3_ABCDF,C,20,RandomForest,0.9817841904761886,ABCD
combination_3_ABCDF,D,10,KNN,0.6972333333333334,ABCD
combination_3_ABCDF,D,10,BayesianRidge,0.6687160171263329,ABCD
combination_3_ABCDF,D,10,RandomForest,0.6580700000000022,ABCD
combination_3_ABCDF,D,15,KNN,0.9131699999999998,ABCD
combination_3_ABCDF,D,15,BayesianRidge,0.958875504268612,BCD
combination_3_ABCDF,D,15,RandomForest,0.9054240000000009,ABCD
combination_3_ABCDF,D,20,KNN,0.9613119047619048,ABCD
combination_3_ABCDF,D,20,BayesianRidge,1.052403276901887,ABCD
combination_3_ABCDF,D,20,RandomForest,1.015268095238096,ABD
combination_3_ABCDF,F,10,KNN,0.6157999999999999,BF
combination_3_ABCDF,F,10,BayesianRidge,0.6218920967296189,BF
combination_3_ABCDF,F,10,RandomForest,0.8208699999999988,AF
combination_3_ABCDF,F,15,KNN,0.8509333333333334,F
combination_3_ABCDF,F,15,BayesianRidge,0.9196604736091605,F
combination_3_ABCDF,F,15,RandomForest,1.0091139999999998,CF
combination_3_ABCDF,F,20,KNN,0.946855238095238,F
combination_3_ABCDF,F,20,BayesianRidge,0.9888751675630122,DF
combination_3_ABCDF,F,20,RandomForest,0.9826490476190466,AF
