Combination,Feature,Percentage,Algorithm,Min MAE,FeatureSet,TranslatedFeatureSet
combination_2_ABCDE,D,10,SVM,0.8021201351063055,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos
combination_2_ABCDE,D,10,RandomForest,0.7625253282828284,ACD,δ13C coll_δ13C carb_δ18O carb
combination_2_ABCDE,D,15,KNN,0.774090357142857,ABD,δ13C coll_δ15N coll_δ18O carb
combination_2_ABCDE,D,15,SVM,0.8505041853559673,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_2_ABCDE,D,15,RandomForest,0.8308825882352944,DE,δ18O carb_δ18O phos
combination_2_ABCDE,D,20,KNN,0.7464901524562395,ABD,δ13C coll_δ15N coll_δ18O carb
combination_2_ABCDE,D,20,SVM,0.8290120033074849,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos
combination_2_ABCDE,D,20,RandomForest,0.7717786103896102,ABD,δ13C coll_δ15N coll_δ18O carb
combination_2_ABCDE,E,10,KNN,0.5269995238095238,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos
combination_2_ABCDE,E,10,SVM,0.5795148108797024,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos
combination_2_ABCDE,E,10,RandomForest,0.5590615735930728,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos
combination_2_ABCDE,E,15,KNN,0.5885942673992675,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos
combination_2_ABCDE,E,15,SVM,0.583850092215693,ACDE,δ13C coll_δ13C carb_δ18O carb_δ18O phos
combination_2_ABCDE,E,15,RandomForest,0.5972911456043961,BCDE,δ15N coll_δ13C carb_δ18O carb_δ18O phos
combination_2_ABCDE,E,20,KNN,0.6020000000000002,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos
combination_2_ABCDE,E,20,SVM,0.5978976012941325,ABCE,δ13C coll_δ15N coll_δ13C carb_δ18O phos
combination_2_ABCDE,E,20,RandomForest,0.5759787543859645,ABDE,δ13C coll_δ15N coll_δ18O carb_δ18O phos
combination_3_ABCDF,A,10,KNN,1.2210000000000003,AD,δ13C coll_δ18O carb
combination_3_ABCDF,A,10,SVM,1.1016359713771458,ADF,δ13C coll_δ18O carb_δ34S coll
combination_3_ABCDF,A,10,RandomForest,0.843088333333322,ABF,δ13C coll_δ15N coll_δ34S coll
combination_3_ABCDF,A,15,KNN,1.1818533333333332,AC,δ13C coll_δ13C carb
combination_3_ABCDF,A,15,SVM,1.0732738509319781,ADF,δ13C coll_δ18O carb_δ34S coll
combination_3_ABCDF,A,15,RandomForest,0.7625189999999955,ABCF,δ13C coll_δ15N coll_δ13C carb_δ34S coll
combination_3_ABCDF,A,20,KNN,0.8322266666666668,ACDF,δ13C coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,A,20,SVM,0.7757928001543645,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_3_ABCDF,A,20,RandomForest,0.6046756190476111,AF,δ13C coll_δ34S coll
combination_3_ABCDF,B,10,KNN,1.2057499999999997,BCDF,δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,B,10,SVM,1.190643089887079,BD,δ15N coll_δ18O carb
combination_3_ABCDF,B,10,RandomForest,0.7005983333333314,BD,δ15N coll_δ18O carb
combination_3_ABCDF,B,15,KNN,1.0768799999999998,BCDF,δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,B,15,SVM,1.115784822921416,BD,δ15N coll_δ18O carb
combination_3_ABCDF,B,15,RandomForest,0.7736906666666649,BD,δ15N coll_δ18O carb
combination_3_ABCDF,B,20,KNN,1.320684761904762,BCF,δ15N coll_δ13C carb_δ34S coll
combination_3_ABCDF,B,20,SVM,1.3713758227663866,BCF,δ15N coll_δ13C carb_δ34S coll
combination_3_ABCDF,B,20,RandomForest,0.87117219047619,BC,δ15N coll_δ13C carb
combination_3_ABCDF,C,10,KNN,1.3833666666666666,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_3_ABCDF,C,10,SVM,1.1943884146432204,ACDF,δ13C coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,C,10,RandomForest,0.8843650000000001,ACF,δ13C coll_δ13C carb_δ34S coll
combination_3_ABCDF,C,15,KNN,1.2439261904761902,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_3_ABCDF,C,15,SVM,1.2539559814245371,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,C,15,RandomForest,0.8996747619047595,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,C,20,KNN,1.2880171428571425,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,C,20,SVM,1.1594910486141465,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,C,20,RandomForest,0.9817841904761886,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_3_ABCDF,D,10,KNN,0.6972333333333334,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb
combination_3_ABCDF,D,10,SVM,0.7713281729728017,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,10,RandomForest,0.6078466666666683,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,15,KNN,0.8507899999999997,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,15,SVM,0.7925938968279025,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,15,RandomForest,0.8104940000000014,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
combination_3_ABCDF,D,20,KNN,0.9543404761904764,ABCDF,δ13C coll_δ15N coll_δ13C carb_δ18O carb_δ34S coll
