Combination,Feature,Percentage,Algorithm,Min RMSE,Min NRMSE,Min MAE,FeatureSet Removal Scenario
combination_2_ABCDE,C,20,BayesianRidge,0.7576774941585233,0.1195074911921961,0.29526350328766215,CE
combination_2_ABCDE,C,20,RandomForest,0.7601800704789086,0.11990221931843983,0.2884542574257424,CE
combination_2_ABCDE,D,10,KNN,0.2684072771343477,0.04596015019423762,0.06201980198019804,ABDE
combination_2_ABCDE,D,10,BayesianRidge,0.2783938450004164,0.04767017893842747,0.06573827509604323,ACDE
combination_2_ABCDE,D,10,RandomForest,0.2775167618923021,0.04751999347470926,0.06870415841584161,ACD
combination_2_ABCDE,D,15,KNN,0.36665030462924136,0.06278258640911666,0.10597029702970295,ABD
combination_2_ABCDE,D,15,BayesianRidge,0.3503089654838534,0.0599844118979201,0.10149827954374299,ABCD
combination_2_ABCDE,D,15,RandomForest,0.3765925445044849,0.06448502474391865,0.1158087128712871,ABDE
combination_2_ABCDE,D,20,KNN,0.4235380508402554,0.07252363884250948,0.13388316831683164,ABCD
combination_2_ABCDE,D,20,BayesianRidge,0.38151649258709464,0.06532816653888607,0.12106980696735929,ABCD
combination_2_ABCDE,D,20,RandomForest,0.4362573314042626,0.07470159784319565,0.14342851485148506,ABCD
combination_2_ABCDE,E,10,KNN,0.23200631551590342,0.039323104324729394,0.04951287128712872,ABDE
combination_2_ABCDE,E,10,BayesianRidge,0.24718029470232214,0.04189496520378341,0.057400353696529224,BCDE
combination_2_ABCDE,E,10,RandomForest,0.20899020819920686,0.03542206918630624,0.05152851485148504,ABDE
combination_2_ABCDE,E,15,KNN,0.280229292638826,0.047496490277767124,0.07605742574257428,ABDE
combination_2_ABCDE,E,15,BayesianRidge,0.2858442016934436,0.048448169778549766,0.07675388803065322,BCDE
combination_2_ABCDE,E,15,RandomForest,0.26696912243954696,0.04524900380331304,0.07911168316831688,ABCE
combination_2_ABCDE,E,20,KNN,0.3215507058854071,0.054500119641594416,0.09613267326732677,ABCE
combination_2_ABCDE,E,20,BayesianRidge,0.3248014118041731,0.05505108674647001,0.09177021488417902,ABDE
combination_2_ABCDE,E,20,RandomForest,0.2973837936067867,0.0504040328147096,0.09481366336633665,ABDE
combination_3_ABCDF,A,10,KNN,0.3912893732568222,0.07467354451466075,0.12174166666666672,ABC
combination_3_ABCDF,A,10,BayesianRidge,0.32918855985686285,0.06282224424749293,0.1040192721901529,AD
combination_3_ABCDF,A,10,RandomForest,0.2902007132175316,0.055381815499528954,0.08892499999999881,ABF
combination_3_ABCDF,A,15,KNN,0.42272119732865254,0.08067198422302532,0.14303333333333335,ACD
combination_3_ABCDF,A,15,BayesianRidge,0.3410371143667751,0.06508341877228532,0.120491613163433,ADF
combination_3_ABCDF,A,15,RandomForest,0.2998836182416026,0.057229698137710436,0.09480999999999914,ABCF
combination_3_ABCDF,A,20,KNN,0.45195993402289514,0.08625189580589603,0.16897500000000007,A
combination_3_ABCDF,A,20,BayesianRidge,0.4109621242107446,0.07842788629976045,0.16684930319910332,ACDF
combination_3_ABCDF,A,20,RandomForest,0.3308682011255693,0.0631427864743453,0.12990333333333212,AF
