Combination,Feature,Percentage,Algorithm,FeatureSet,TranslatedFeatureSet,MAE,MAPE,MAE (‰)
combination_1_ABCD,A (δ13C coll),10,SVM,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7382383922182475,3.4620903700698955,-34.59395810103666
combination_1_ABCD,A (δ13C coll),10,RandomForest,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7406551141513285,3.4577883232556146,-34.7072060412361
combination_1_ABCD,A (δ13C coll),10,RandomForest_MICE,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7541565259740288,3.539023004503894,-35.339884156899934
combination_1_ABCD,A (δ13C coll),10,HybridKNN_RF,ABCD,δ13C coll_δ15N coll_δ13C carb_δ18O carb,0.7544125724275754,3.544465453879744,-35.35188253083886
combination_1_ABCD,A (δ13C coll),15,KNN,A,δ13C coll,0.5964127272727271,2.7881071768336723,-27.947986877520925
combination_1_ABCD,A (δ13C coll),15,SVM,A,δ13C coll,0.6942410116747564,3.2556084375284504,-32.532234469319974
combination_1_ABCD,A (δ13C coll),15,RandomForest,A,δ13C coll,0.6662748224424716,3.13779757246538,-31.221734786906666
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,A,δ13C coll,0.656937424242426,3.0941231254675516,-30.784182953366177
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,A,δ13C coll,0.6579363409090926,3.089822364724493,-30.830992333205202
combination_1_ABCD,A (δ13C coll),15,KNN,AB,δ13C coll_δ15N coll,0.7069995202020202,3.335219021201914,-33.13010002884156
combination_1_ABCD,A (δ13C coll),15,SVM,AB,δ13C coll_δ15N coll,0.7982814057484227,3.788873799958867,-37.407582421063616
combination_1_ABCD,A (δ13C coll),15,RandomForest,AB,δ13C coll_δ15N coll,0.7497037243627336,3.53055613490843,-35.131225227755756
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AB,δ13C coll_δ15N coll,0.7555946893939424,3.582952488863493,-35.40727670328517
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AB,δ13C coll_δ15N coll,0.7920918737373758,3.7554448963026474,-37.117540053567936
combination_1_ABCD,A (δ13C coll),15,KNN,AC,δ13C coll_δ13C carb,0.6079881060606059,2.8330880420886677,-28.49041080590574
combination_1_ABCD,A (δ13C coll),15,SVM,AC,δ13C coll_δ13C carb,0.694482206952993,3.251392778042228,-32.543536915030515
combination_1_ABCD,A (δ13C coll),15,RandomForest,AC,δ13C coll_δ13C carb,0.6450747727261963,3.0340470335744123,-30.22829738327742
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AC,δ13C coll_δ13C carb,0.6872541237373759,3.230980486876309,-32.20482788750281
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AC,δ13C coll_δ13C carb,0.6869499621212134,3.2289421255606228,-32.19057483006718
combination_1_ABCD,A (δ13C coll),15,KNN,AD,δ13C coll_δ18O carb,0.5994997979797979,2.8025213452799753,-28.092647458467486
combination_1_ABCD,A (δ13C coll),15,SVM,AD,δ13C coll_δ18O carb,0.6699560037910174,3.125170748513347,-31.39423547865647
combination_1_ABCD,A (δ13C coll),15,RandomForest,AD,δ13C coll_δ18O carb,0.6475829554628829,3.035883857208627,-30.34583118999528
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,AD,δ13C coll_δ18O carb,0.6626762095959625,3.1045933969994235,-31.05310326713441
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,AD,δ13C coll_δ18O carb,0.6514010757575777,3.04375218500089,-30.524748860617233
combination_1_ABCD,A (δ13C coll),15,KNN,ABC,δ13C coll_δ15N coll_δ13C carb,0.7709967676767678,3.6324529234582554,-36.129020324859695
combination_1_ABCD,A (δ13C coll),15,SVM,ABC,δ13C coll_δ15N coll_δ13C carb,0.7902184378850368,3.7481944656743416,-37.02975057788643
combination_1_ABCD,A (δ13C coll),15,RandomForest,ABC,δ13C coll_δ15N coll_δ13C carb,0.7721437646366581,3.645246948246077,-36.18276876871024
combination_1_ABCD,A (δ13C coll),15,RandomForest_MICE,ABC,δ13C coll_δ15N coll_δ13C carb,0.8267581818181832,3.9318881799470553,-38.74200827671413
combination_1_ABCD,A (δ13C coll),15,HybridKNN_RF,ABC,δ13C coll_δ15N coll_δ13C carb,0.8027353308080839,3.806508939746654,-37.616293995161115
combination_1_ABCD,A (δ13C coll),15,KNN,ABD,δ13C coll_δ15N coll_δ18O carb,0.7192289393939396,3.3885237949925453,-33.703172385393025
combination_1_ABCD,A (δ13C coll),15,SVM,ABD,δ13C coll_δ15N coll_δ18O carb,0.8054057099241024,3.8180387981079162,-37.74142834773231
combination_1_ABCD,A (δ13C coll),15,RandomForest,ABD,δ13C coll_δ15N coll_δ18O carb,0.7565284516495333,3.5631793879572746,-35.45103293797405
